Time;S&P
09.09.2019 17:40;2982,21
09.09.2019 17:45;2982,12
09.09.2019 17:50;2982,08
09.09.2019 17:55;2982,41
09.09.2019 18:00;2981,46
09.09.2019 18:05;2980,53
09.09.2019 18:10;2979,26
09.09.2019 18:15;2977,29
09.09.2019 18:20;2976,79
09.09.2019 18:25;2974,71
09.09.2019 18:30;2973,54
09.09.2019 18:35;2971,16
09.09.2019 18:40;2973,11
09.09.2019 18:45;2972,28
09.09.2019 18:50;2975,25
09.09.2019 18:55;2976,55
09.09.2019 19:00;2976,65
09.09.2019 19:05;2976,75
09.09.2019 19:10;2975,38
09.09.2019 19:15;2975,53
09.09.2019 19:20;2973,88
09.09.2019 19:25;2973,35
09.09.2019 19:30;2972,68
09.09.2019 19:35;2973,15
09.09.2019 19:40;2972,86
09.09.2019 19:45;2975,01
09.09.2019 19:50;2975,65
09.09.2019 19:55;2975,25
09.09.2019 20:00;2976,28
09.09.2019 20:05;2974,19
09.09.2019 20:10;2973,77
09.09.2019 20:15;2973,28
09.09.2019 20:20;2972,31
09.09.2019 20:25;2972,18
09.09.2019 20:30;2974,75
09.09.2019 20:35;2973,92
09.09.2019 20:40;2974,2
09.09.2019 20:45;2974,4
09.09.2019 20:50;2972,72
09.09.2019 20:55;2973,4
09.09.2019 21:00;2975,83
09.09.2019 21:05;2974,36
09.09.2019 21:10;2977,54
09.09.2019 21:15;2978,46
09.09.2019 21:20;2977,48
09.09.2019 21:25;2976,91
09.09.2019 21:30;2976,71
09.09.2019 21:35;2977,93
09.09.2019 21:40;2977,82
09.09.2019 21:45;2978,06
09.09.2019 21:50;2978,85
09.09.2019 21:55;2978,67
09.09.2019 22:00;2978,43
09.09.2019 22:05;2978,43
09.09.2019 22:10;2978,43
10.09.2019 15:30;2965,63
10.09.2019 15:35;2963,16
10.09.2019 15:40;2960,52
10.09.2019 15:45;2962,43
10.09.2019 15:50;2957,79
10.09.2019 15:55;2960,09
10.09.2019 16:00;2960,7
10.09.2019 16:05;2959,05
10.09.2019 16:10;2958,74
10.09.2019 16:15;2960,15
10.09.2019 16:20;2963,27
10.09.2019 16:25;2964,42
